size,time
366,0.0001374
367,0.0001335
368,0.0001097
369,0.0001115
370,0.0001103
371,0.0001555
372,0.0001508
373,0.0001297
374,0.0001284
375,0.0001313
376,0.0001192
377,0.0001141
378,0.000154
379,0.0002064
380,0.0001339
381,0.000128
382,0.0001773
383,0.0001513
384,0.0001449
385,0.0001731
386,0.0001736
387,0.0001882
388,0.0001507
389,0.0001184
390,0.0001276
391,0.0002266
392,0.0001224
393,0.0001229
394,0.0001209
395,0.0001573
396,0.0001924
397,0.000125
398,0.0001691
399,0.000156
400,0.0001235
401,0.0001254
402,0.0001233
403,0.0001269
404,0.000164
405,0.0001707
406,0.0001443
407,0.0002183
408,0.0001297
409,0.0001358
410,0.0001297
411,0.0001359
412,0.0001257
413,0.0001627
414,0.0002191
415,0.0001325
416,0.000155
417,0.0001383
418,0.0001442
419,0.0001519
420,0.0001924
421,0.0001445
422,0.0001414
423,0.0001367
424,0.000142
425,0.000139
426,0.0001762
427,0.0002512
428,0.0001371
429,0.0001692
430,0.0001589
431,0.0001362
432,0.0001379
433,0.0001378
434,0.0001347
435,0.0001532
436,0.0001875
437,0.0001451
438,0.000143
439,0.0001394
440,0.0002284
441,0.0001451
442,0.0001384
443,0.0002108
444,0.0001451
445,0.0001433
446,0.0001427
447,0.0001413
448,0.0001513
449,0.000146
450,0.0001445
451,0.0002183
452,0.0001807
453,0.0002082
454,0.0001618
455,0.0001626
456,0.0001636
457,0.0002779
458,0.0002252
459,0.0002371
460,0.000162
461,0.000157
462,0.0001572
463,0.0001576
464,0.000168
465,0.0001829
466,0.0002626
467,0.0001585
468,0.0001691
469,0.0001577
470,0.0001728
471,0.0001857
472,0.0001694
473,0.0002187
474,0.0002204
475,0.0002315
476,0.00016
477,0.0001777
478,0.000163
479,0.0001652
480,0.0001679
481,0.0001714
482,0.0003343
483,0.0001853
484,0.000206
485,0.0002004
486,0.0002047
487,0.0003241
488,0.0002595
489,0.0002526
490,0.0002543
491,0.0002627
492,0.0004837
493,0.0002462
494,0.0002618
495,0.0002666
496,0.0003857
497,0.0002764
498,0.0001956
499,0.0002213
500,0.0001858
501,0.0002196
502,0.0002342
503,0.000241
504,0.0001998
505,0.0001957
506,0.0001807
507,0.0002253
508,0.000226
509,0.0002409
510,0.000192
511,0.0002758
512,0.0001908
513,0.0002108
514,0.0001876
515,0.0001873
516,0.0003373
517,0.0005668
518,0.0001856
519,0.0001827
520,0.0001916
521,0.0001997
522,0.0002241
523,0.0002392
524,0.0002332
525,0.0001869
526,0.000185
527,0.0001873
528,0.0002088
529,0.0002379
530,0.0001998
531,0.0002855
532,0.0002128
533,0.0002333
534,0.0001986
535,0.0002069
536,0.0001937
537,0.0001989
538,0.0001976
539,0.0002559
540,0.0002392
541,0.0002025
542,0.0002222
543,0.0002137
544,0.0002157
545,0.0002203
546,0.0004628
547,0.0002712
548,0.000222
549,0.0002354
550,0.000418
551,0.0003458
552,0.0002488
553,0.0002105
554,0.0002375
555,0.0002174
556,0.0003481
557,0.0004198
558,0.0002311
559,0.000226
560,0.0002297
561,0.0003134
562,0.0002286
563,0.0002443
564,0.000289
565,0.0002343
566,0.000231
567,0.0002385
568,0.0002419
569,0.0002549
570,0.0003099
571,0.0002261
572,0.0002313
573,0.000261
574,0.0002297
575,0.0002325
576,0.000278
577,0.0003018
578,0.0003795
579,0.0002201
580,0.0002202
581,0.0002297
582,0.0002272
583,0.0002573
584,0.0003186
585,0.0002876
586,0.0002234
587,0.0002257
588,0.0002245
589,0.0002325
590,0.0002828
591,0.0003066
592,0.0002285
593,0.0002406
594,0.0004057
595,0.0002334
596,0.0002441
597,0.000324
598,0.0002728
599,0.0002344
600,0.0002392
601,0.0002437
602,0.000329
603,0.0002913
604,0.0003568
605,0.0002929
606,0.0002442
607,0.0002483
608,0.0002459
609,0.0002678
610,0.0002464
611,0.0003106
612,0.0003267
613,0.0002654
614,0.0003145
615,0.0002511
616,0.0002633
617,0.0002752
618,0.000369
619,0.0002604
620,0.0002563
621,0.0002648
622,0.0003781
623,0.000424
624,0.0003078
625,0.0004905
626,0.0002697
627,0.0002564
628,0.0002794
629,0.0003398
630,0.0005413
631,0.0002842
632,0.0002723
633,0.0002976
634,0.0002667
635,0.0003467
636,0.000288
637,0.0002829
638,0.0002768
639,0.0004427
640,0.0004104
641,0.0003139
642,0.0003125
643,0.0003129
644,0.0004648
645,0.0009032
646,0.0003103
647,0.0003124
648,0.0003084
649,0.0005799
650,0.0005022
651,0.0004105
652,0.000338
653,0.0003808
654,0.0003807
655,0.0004584
656,0.000397
657,0.0003408
658,0.0003046
659,0.0003306
660,0.0005013
661,0.0003521
662,0.0003739
663,0.0002747
664,0.0005099
665,0.0003704
666,0.0003665
667,0.0003227
668,0.0002916
669,0.00029
670,0.0003377
671,0.0003029
672,0.0006931
673,0.0002944
674,0.0002837
675,0.0002949
676,0.0010257
677,0.0004162
678,0.0003905
679,0.0003108
680,0.0003139
681,0.0002993
682,0.0003522
683,0.0004453
684,0.000307
685,0.0003415
686,0.0003194
687,0.0003872
688,0.0003646
689,0.0003955
690,0.0003691
691,0.0003469
692,0.0003044
693,0.0003094
694,0.0003108
695,0.0005021
696,0.00041
697,0.0003199
698,0.000311
699,0.000351
700,0.0003345
701,0.000387
702,0.0005168
703,0.0003199
704,0.0003603
705,0.0003118
706,0.0003079
707,0.000393
708,0.0003495
709,0.0004069
710,0.0003771
711,0.0003211
712,0.0003423
713,0.0003232
714,0.0004263
715,0.0003608
716,0.0003252
717,0.0003205
718,0.0003155
719,0.0003184
720,0.0003611
721,0.0003876
722,0.0003382
723,0.000409
724,0.0003243
725,0.0003263
726,0.0003417
727,0.0005401
728,0.0003747
729,0.0003412
730,0.0003413
731,0.0004939
732,0.0003734
733,0.0004356
734,0.0003959
735,0.0003479
736,0.0003602
737,0.0003507
738,0.0003698
739,0.0004424
740,0.0003817
741,0.0003437
742,0.0003854
743,0.0004612
744,0.0005397
745,0.0003712
746,0.0003813
747,0.0003561
748,0.0003735
749,0.000362
750,0.0005192
751,0.0003874
752,0.00036
753,0.0003633
754,0.0003836
755,0.0003628
756,0.0005742
757,0.0004258
758,0.0003499
759,0.0003798
760,0.0003594
761,0.0005548
762,0.0008062
763,0.0004094
764,0.0004315
765,0.0003974
766,0.0004153
767,0.0004216
768,0.0003648
769,0.0003618
770,0.0005606
771,0.0003635
772,0.0003721
773,0.0004403
774,0.0003741
775,0.0003707
776,0.0003703
777,0.0004292
778,0.0003864
779,0.0004565
780,0.0004456
781,0.0003683
782,0.0003736
783,0.0003774
784,0.0003854
785,0.0005523
786,0.0004004
787,0.0003799
788,0.0003821
789,0.0003829
790,0.0003853
791,0.0008096
792,0.000445
793,0.0003824
794,0.0003771
795,0.0004494
796,0.0006302
